"","state","date","r_t_most_likely","r_t_lo","r_t_hi"
"128","AL",2020-07-20,1.03,0.64,0.96
"129","AL",2020-07-21,1.02,0.68,1.01
"130","AL",2020-07-22,1.02,0.89,1.22
"131","AL",2020-07-23,1.01,1.03,1.34
"132","AL",2020-07-24,1,0.91,1.21
"133","AL",2020-07-25,1,0.67,0.99
"134","AL",2020-07-26,0.99,0.53,0.86
"135","AL",2020-07-27,0.98,0.54,0.89
"136","AL",2020-07-28,0.98,0.7,1.04
"137","AL",2020-07-29,0.97,0.87,1.21
"138","AL",2020-07-30,0.96,1.03,1.36
