"","state","date","r_t_most_likely","r_t_lo","r_t_hi"
"95","Madison","2020-06-20",1.27021314516827,0.44,1.7
"96","Madison","2020-06-21",1.2782909638876,0.29,1.57
"97","Madison","2020-06-22",1.28625510672794,0.21,1.51
"98","Madison","2020-06-23",1.29409584507996,0.34,1.67
"99","Madison","2020-06-24",1.30180345033433,0.64,1.93
"100","Madison","2020-06-25",1.30936819388172,0.79,2.02
"101","Madison","2020-06-26",1.31680140017793,0.72,1.92
"102","Madison","2020-06-27",1.3241224177958,0.59,1.75
"103","Madison","2020-06-28",1.33133355430162,0.59,1.72
"104","Madison","2020-06-29",1.33843711726164,0.63,1.75
"105","Madison","2020-06-30",1.34543541424213,0.65,1.75
"106","Madison","2020-07-01",1.35233075280937,0.78,1.86
"107","Madison","2020-07-02",1.3591254405296,1.02,2.07
"108","Madison","2020-07-03",1.36582178496911,1.19,2.15
"109","Madison","2020-07-04",1.37242209369416,1.01,1.92
"110","Madison","2020-07-05",1.37892867427101,0.71,1.61
"111","Madison","2020-07-06",1.38534383426593,0.57,1.5
"112","Madison","2020-07-07",1.39166988124519,0.74,1.67
"113","Madison","2020-07-08",1.39790912277506,1.14,2
"114","Madison","2020-07-09",1.40406386642179,1.4,2.2
